'temp' 1 25.0
'ch2o(aq)'  4.0  0.0 30.0261
'c5h7o2n(aq)'  4.0  0.0 0.0	! esto no va aqui
'A'	1.0 0.0 0.0
'ag+'  3.0  1.0 0.0
'al+3'  9.0  3.0 0.0
'am+3'  5.0  3.0 0.0
'ar(aq)'  3.0  0.0 0.0
'au+'  4.0  1.0 0.0
'B' 1.0 0.0 0.0
'b(oh)3(aq)'  3.0  0.0 0.0
'ba+2'  5.0  2.0 0.0
'be+2'  8.0  2.0 0.0
'br-'  4.0 -1.0 0.0
'ca+2'  6.0  2.0 40.0780
'cd+2'  4.5  2.0 0.0
'ce+3'  9.0  3.0 0.0
'ch4(aq)' 3.0 0.0 0.0
'cl-' 3.00 -1.00 35.45270
'co+2'  4.5  2.0 0.0
'co3-2(p)'  5.0 -2.0 0.0
'cro4-2'  4.0 -2.0 0.0
'cs+'  4.0  1.0 0.0
'cu+2'  6.0  2.0 0.0
'dy+3'  5.0  3.0 0.0
'e-(p)'  0.0 -1.0 0.0
'er+3'  5.0  3.0 0.0
'eu+3'  5.0  3.0 0.0
'f-'  4.0 -1.0 0.0
'fe+2'  6.0  2.0 0.0
'fe+3_k'  9.0  3.0 0.0
'ga+3'  5.0  3.0 0.0
'gd+3'  5.0  3.0 0.0
'h+'  9.0  1.0 1.0079
'h2aso4-'  4.0 -1.0 0.0
'h2o(p)' 3.0 0.0 18.0153
'h2s' 3.0  0.0 0.0
'hco3-'  4.0 -1.0 61.0171
'he(aq)'  3.0  0.0 0.0
'hg+2'  4.5  2.0 0.0
'ho+3'  5.0  3.0 0.0
'hpo4-2'  4.0 -2.0 0.0
'i-'  3.0 -1.0 0.0
'in+3'  5.0  3.0 0.0
'k+'  3.0  1.0 0.0
'kr(aq)'  3.0  0.0 0.0
'la+3'  9.0  3.0 0.0
'li+'  4.0  1.0 0.0
'lu+3'  5.0  3.0 0.0
'mg+2'  8.0  2.0 0.0
'mn+2'  6.0  2.0 0.0
'moo4-2'  4.0 -2.0 0.0
'n2(aq)(p)' 3.0  0.0 0.0
'n2o' 5.0 0.0 0.0	! inventado
'na+'  4.0  1.0 22.9898
'nd+3'  5.0  3.0 0.0
'ne(aq)'  3.0  0.0 0.0
'nh4+(p)' 3.00 1.00 18.03850		
'ni+2'  4.5  2.0 0.0
'no3-'  3.0 -1.0 0.0
'no2-(p)' 4.0 -1.0 0.0
'np+4'  5.5  4.0 0.0
'o2(aq)'  3.0  0.0 31.99880
'oh-(p)' 3.0 -1.0 17.0073
'pb+2'  5.0  2.0 0.0
'pd+2'  4.5  2.0 0.0
'pr+3'  5.0  3.0 0.0
'pu+4'  5.5  4.0 0.0
'ra+2'  4.5  2.0 0.0
'rb+'  4.0  1.0 0.0
'reo4-'  4.0 -1.0 0.0
'rn(aq)'  3.0  0.0 0.0
'ruo4-2'  4.0 -2.0 0.0
'sc+3'  5.0  3.0 0.0
'seo3-2'  4.0 -2.0 0.0
'sio2(aq)'  3.0  0.0 0.0
'sm+3'  5.0  3.0 0.0
'sn+2'  6.0  2.0 0.0
'so4-2'  4.0 -2.0 96.0636
'sr+2'  5.0  2.0 0.0
'tb+3'  5.0  3.0 0.0
'tco4-'  4.0 -1.0 0.0
'th+4'  5.5  4.0 0.0
'ti(oh)4(aq)'  3.0  0.0 0.0
'tl+'  4.0  1.0 0.0
'tm+3'  5.0  3.0 0.0
'uo2+2'  4.5  2.0 0.0
'vo+2'  4.5  2.0 0.0
'wo4-2'  4.0 -2.0 0.0
'xe(aq)'  3.0  0.0 0.0
'y+3'  5.0  3.0 0.0
'yb+3'  5.0  3.0 0.0
'zn+2'  6.0  2.0 0.0
'zr(oh)2+2'  4.5  2.0 0.0
'*' 0.0 0.0 0.0
'o2(g)'  3.0  0.0 31.99880
'xoh'  0.0  0.0 0.0
'xzero'  0.0  0.0 0.0
'xbeta'  0.0  0.0 0.0
'x-'  0.0  0.0 0.0
'nh4+(cons)' 3.00 1.00 18.03850
'methane(cons)' 3.00 0.00 16.04276
'null'  0.0  0.0 0.0
'(o-phth)-2' 3  -7.50 'o2(g)'   6.00 'h+'   8.00 'hco3-' 521.0962  4.0 -2.0
'acetic~acid(aq)' 3  -2.00 'o2(g)'   2.00 'h+'   2.00 'hco3-' 136.1956  3.0  0.0
'acetone(aq)' 3  -4.00 'o2(g)'   3.00 'h+'   3.00 'hco3-' 280.2622  3.0  0.0
'ag+2' 3   0.25 'o2(g)'   1.00 'ag+'   1.00 'h+'  12.8490  4.5  2.0
'am+4' 3   0.25 'o2(g)'   1.00 'am+3'   1.00 'h+'  18.8061  5.5  4.0
'amo2+' 3  -2.00 'h+'   0.50 'o2(g)'   1.00 'am+3'  16.7035  4.0  1.0
'amo2+2' 3  -1.00 'h+'   0.75 'o2(g)'   1.00 'am+3'  22.8287  4.5  2.0
'au+3' 3   0.50 'o2(g)'   1.00 'au+'   2.00 'h+'   5.7998  5.0  3.0
'benzene(aq)' 3  -7.50 'o2(g)'   6.00 'h+'   6.00 'hco3-' 515.7647  3.0  0.0
!'ch2o(aq)'  3   1.00 'h+' 1.00 'hco3-'  -1.00 'o2(aq)'  75.0000 4.0  0.0
'clo4-' 2   1.00 'cl-'   2.00 'o2(g)'  21.5057  3.0 -1.0
'co+3' 3   0.25 'o2(g)'   1.00 'co+2'   1.00 'h+'  12.2091  5.0  3.0
'co2(aq)' 2   1.00 'h+'   1.00 'hco3-'  -6.3447  3.0  0.0 44.0098
'co3-2' 2  -1.00 'h+'   1.00 'hco3-'  10.3288  5.0 -2.0 60.0092
'cr+2' 3  -1.00 'o2(g)'   1.00 'cro4-2'   4.00 'h+'  18.7390  4.5  2.0
'cr+3' 3  -0.75 'o2(g)'   1.00 'cro4-2'   5.00 'h+' -10.5582  5.0  3.0
'cro4-3' 3  -6.00 'h+'   0.50 'o2(g)'   1.00 'cr+3'  29.6045  4.0 -3.0
'cu+' 3  -1.00 'h+'  -0.25 'o2(g)'   1.00 'cu+2'  18.0458  4.0  1.0
'ethane(aq)' 3  -3.50 'o2(g)'   2.00 'h+'   2.00 'hco3-' 244.3593  3.0  0.0
